inclusion_filter,story_condition,load_condition,analysis_scope,agent_role,dv,condition,n,mean,median,std
included_only,firework,high,within_subjects_all_vignettes,distal,blame,CH,58,8.46551724137931,8.0,0.5369020048904776
included_only,firework,high,within_subjects_all_vignettes,distal,blame,DIV,58,8.293103448275861,8.0,0.6756055292964757
included_only,firework,high,within_subjects_all_vignettes,distal,wrong,CC,58,7.827586206896552,8.0,1.094450611750388
included_only,firework,high,within_subjects_all_vignettes,distal,wrong,CH,58,8.39655172413793,9.0,0.770956461610336
included_only,firework,high,within_subjects_all_vignettes,distal,wrong,DIV,58,7.862068965517241,8.0,1.48025929286314
included_only,firework,high,within_subjects_all_vignettes,distal,punish,CC,58,2.1290727436738903,2.0794415416798357,0.4297737313327405
included_only,firework,high,within_subjects_all_vignettes,distal,punish,CH,58,2.3451201876550187,2.3978952727983707,0.4110210466705934
included_only,firework,high,within_subjects_all_vignettes,distal,punish,DIV,58,2.2950029766948137,2.3978952727983707,0.42769713589487185
included_only,firework,high,within_subjects_all_vignettes,proximate,blame,CC,58,8.913793103448276,9.0,0.2831206276062635
included_only,firework,high,within_subjects_all_vignettes,proximate,blame,CH,58,2.396551724137931,2.0,0.6738122798715879
included_only,firework,high,within_subjects_all_vignettes,proximate,wrong,CC,58,8.913793103448276,9.0,0.2831206276062635
included_only,firework,high,within_subjects_all_vignettes,proximate,wrong,CH,58,3.206896551724138,3.0,1.530492647318723
included_only,firework,high,within_subjects_all_vignettes,proximate,punish,CC,58,2.7746063188461614,2.772588722239781,0.3617107229110894
included_only,firework,high,within_subjects_all_vignettes,proximate,punish,CH,58,0.4992385100017356,0.0,0.7788816518200696
included_only,firework,high,between_subjects_first_vignette,distal,blame,CC,19,7.473684210526316,7.0,0.5129891760425771
included_only,firework,high,between_subjects_first_vignette,distal,blame,CH,13,8.307692307692308,8.0,0.4803844614152614
included_only,firework,high,between_subjects_first_vignette,distal,blame,DIV,26,7.8076923076923075,8.0,0.5670436151994497
included_only,firework,high,between_subjects_first_vignette,distal,wrong,CC,19,7.7368421052631575,8.0,0.6533762964749499
included_only,firework,high,between_subjects_first_vignette,distal,wrong,CH,13,8.615384615384615,9.0,0.5063696835418332
included_only,firework,high,between_subjects_first_vignette,distal,wrong,DIV,26,6.8076923076923075,6.0,1.6252810407860117
included_only,firework,high,between_subjects_first_vignette,distal,punish,CC,19,1.9141336438224277,1.791759469228055,0.3331062360545715
included_only,firework,high,between_subjects_first_vignette,distal,punish,CH,13,2.2935335355460698,2.3978952727983707,0.2700756181214825
included_only,firework,high,between_subjects_first_vignette,distal,punish,DIV,26,2.0880888080975963,1.791759469228055,0.34815689160603325
included_only,firework,high,within_subjects_deltas,distal,blame,CH - CC,58,0.6896551724137931,1.0,0.842029639677597
included_only,firework,high,within_subjects_deltas,distal,blame,DIV - CC,58,0.5172413793103449,1.0,0.7548993033893416
included_only,firework,high,within_subjects_deltas,distal,blame,"MIN(CH, DIV) - CC",58,0.29310344827586204,0.0,0.7256846903528158
included_only,firework,high,within_subjects_deltas,proximate,blame,CC - CH,58,6.517241379310345,7.0,0.8000302474620596
included_only,firework,high,within_subjects_deltas,distal,wrong,CH - CC,58,0.5689655172413793,1.0,0.7036762853610689
included_only,firework,high,within_subjects_deltas,distal,wrong,DIV - CC,58,0.034482758620689655,0.0,1.3240755429948734
included_only,firework,high,within_subjects_deltas,distal,wrong,"MIN(CH, DIV) - CC",58,-0.08620689655172414,0.0,1.288062365802688
included_only,firework,high,within_subjects_deltas,proximate,wrong,CC - CH,58,5.706896551724138,6.0,1.5447548001606857
