inclusion_filter,story_condition,load_condition,analysis_scope,agent_role,dv,condition,n,mean,median,std
included_only,parade,low,between_subjects_first_vignette,clark,blame,DIV,29,6.275862068965517,6.0,1.925330244847397
included_only,parade,low,between_subjects_first_vignette,clark,wrongness,CC,21,5.714285714285714,6.0,2.2614786566062732
included_only,parade,low,between_subjects_first_vignette,clark,wrongness,CH,28,6.785714285714286,7.0,2.0968608434575233
included_only,parade,low,between_subjects_first_vignette,clark,wrongness,DIV,29,5.724137931034483,6.0,1.868852813208794
included_only,parade,low,between_subjects_first_vignette,clark,punishment,CC,21,2.0952380952380953,1.0,2.643950867636574
included_only,parade,low,between_subjects_first_vignette,clark,punishment,CH,28,6.785714285714286,2.5,10.199336009096623
included_only,parade,low,between_subjects_first_vignette,clark,punishment,DIV,29,3.103448275862069,2.0,4.220230423517916
included_only,parade,low,within_subjects_deltas,clark,blame,CH-CC,78,1.0897435897435896,0.5,1.6917361975117047
included_only,parade,low,within_subjects_deltas,clark,blame,DIV-CC,78,0.7435897435897436,0.0,1.7240536454417457
included_only,parade,low,within_subjects_deltas,clark,blame,"MIN(CH,DIV)-CC",78,0.21794871794871795,0.0,1.4292622372365902
included_only,parade,low,within_subjects_deltas,proximate,blame,CC-CH_proximate,78,2.076923076923077,2.0,2.4798891406371677
included_only,parade,low,within_subjects_deltas,clark,wrongness,CH-CC,78,0.9615384615384616,0.5,2.0093438076801435
included_only,parade,low,within_subjects_deltas,clark,wrongness,DIV-CC,78,0.38461538461538464,0.0,1.5891741646133455
included_only,parade,low,within_subjects_deltas,clark,wrongness,"MIN(CH,DIV)-CC",78,-0.0641025641025641,0.0,1.4712813003191008
included_only,parade,low,within_subjects_deltas,proximate,wrongness,CC-CH_proximate,78,1.4615384615384615,1.0,2.2660240808219876
included_only,parade,low,within_subjects_deltas,clark,punishment,CH-CC,78,2.3076923076923075,1.0,5.508688986106798
included_only,parade,low,within_subjects_deltas,clark,punishment,DIV-CC,78,2.9871794871794872,0.0,7.033304057650711
included_only,parade,low,within_subjects_deltas,clark,punishment,"MIN(CH,DIV)-CC",78,1.0769230769230769,0.0,5.327627650616772
included_only,parade,low,within_subjects_deltas,proximate,punishment,CC-CH_proximate,78,3.9358974358974357,1.0,7.892688945761059
included_only,trolley,all,within_subjects_all_vignettes,clark,blame,CC,135,6.222222222222222,6.0,1.6691523752316004
included_only,trolley,all,within_subjects_all_vignettes,clark,blame,CH,135,6.992592592592593,7.0,1.7341878235668153
included_only,trolley,all,within_subjects_all_vignettes,clark,blame,DIV,135,6.696296296296296,7.0,1.5125054536676026
included_only,trolley,all,within_subjects_all_vignettes,clark,wrongness,CC,135,6.562962962962963,7.0,1.8910922667349122
included_only,trolley,all,within_subjects_all_vignettes,clark,wrongness,CH,135,7.0962962962962965,8.0,1.9311819676432254
included_only,trolley,all,within_subjects_all_vignettes,clark,wrongness,DIV,135,6.992592592592593,7.0,1.7212295860821187
included_only,trolley,all,within_subjects_all_vignettes,clark,punishment,CC,135,8.896296296296295,5.0,11.42024522966049
